Image_Path	Predicted_Label	Actual_Label	Correct
Epoch 1
front_2022_10_18_12_08_32.jpg	Rain jacket	Cardigan	False
front_2022_09_01_08_12_05.jpg	Rain jacket	Top	False
front_2022_09_29_13_18_30.jpg	Blouse	Robe	False
front_2022_10_03_06_29_49.jpg	Night gown	T-shirt	False
front_2022_10_27_08_10_07.jpg	Blouse	Shirt	False
front_2022_11_16_12_24_39.jpg	Blouse	Shirt	False
front_2022_09_19_09_00_37.jpg	Rain jacket	Tank top	False
front_2022_11_28_12_31_12.jpg	Blouse	Shirt	False
front_2022_10_19_07_03_45.jpg	Rain jacket	Top	False
front_2022_10_10_09_11_33.jpg	Training top	Sweater	False
front_2022_10_13_09_16_24.jpg	Training top	Blouse	False
front_2022_09_20_07_40_39.jpg	Night gown	Top	False
front_2022_12_07_14_36_08.jpg	Night gown	T-shirt	False
front_2022_10_17_11_34_34.jpg	Rain jacket	Shirt	False
front_2023_02_17_10_03_33.jpg	Rain jacket	T-shirt	False
front_2022_09_29_06_08_46.jpg	Night gown	Top	False
front_2022_09_20_12_15_59.jpg	Rain jacket	Top	False
front_2022_10_31_08_00_57.jpg	Rain jacket	Top	False
front_2022_10_14_06_57_02.jpg	Tank top	T-shirt	False
front_2022_09_28_11_32_53.jpg	Rain jacket	Shirt	False
front_2022_09_21_07_00_50.jpg	Robe	Sweater	False
front_2022_09_15_08_48_58.jpg	Night gown	Sweater	False
front_2022_10_05_11_04_24.jpg	Rain jacket	Blouse	False
front_2022_10_18_13_43_39.jpg	Rain jacket	Top	False
front_2022_10_06_05_47_32.jpg	Robe	Sweater	False
front_2022_12_08_09_53_35.jpg	Rain jacket	Cardigan	False
front_2022_11_05_08_50_47.jpg	Training top	Blouse	False
front_2022_09_19_11_19_28.jpg	Rain jacket	T-shirt	False
front_2022_11_07_12_07_49.jpg	Rain jacket	T-shirt	False
front_2022_09_09_09_09_56.jpg	Training top	Sweater	False
front_2022_11_17_09_16_35.jpg	Rain jacket	Shirt	False
front_2022_09_05_09_28_13.jpg	Blazer	Shirt	False
front_2022_12_07_14_09_26.jpg	Rain jacket	T-shirt	False
front_2022_09_26_09_03_50.jpg	Robe	Sweater	False
front_2023_02_07_14_08_28.jpg	Rain jacket	Sweater	False
front_2023_02_10_08_10_07.jpg	Rain jacket	Sweater	False
front_2022_10_14_11_45_22.jpg	Training top	Cardigan	False
front_2023_02_02_09_51_35.jpg	Training top	Top	False
front_2022_09_05_09_09_02.jpg	Rain jacket	Top	False
front_2022_09_14_07_18_49.jpg	Night gown	Top	False
front_2022_10_13_11_03_41.jpg	Night gown	Tank top	False
